step=1 total=2.367s frontend=0.899s interaction=0.128s pooling=0.127s backward=0.998s
step=2 total=1.073s frontend=0.068s interaction=0.037s pooling=0.083s backward=0.879s
step=3 total=1.071s frontend=0.068s interaction=0.037s pooling=0.083s backward=0.879s
step=4 total=1.075s frontend=0.066s interaction=0.037s pooling=0.083s backward=0.879s
step=5 total=1.070s frontend=0.067s interaction=0.037s pooling=0.083s backward=0.878s
step=6 total=1.071s frontend=0.066s interaction=0.037s pooling=0.084s backward=0.879s
step=7 total=1.073s frontend=0.070s interaction=0.037s pooling=0.083s backward=0.878s

=== 5-step average ===
backward    :    0.879s   82.0%
pooling     :    0.083s    7.8%
frontend    :    0.067s    6.3%
interaction :    0.037s    3.5%
data        :    0.003s    0.2%
transfer    :    0.001s    0.1%
optimizer   :    0.001s    0.1%
classifier  :    0.000s    0.0%
loss        :    0.000s    0.0%
total       :    1.072s
