step=1 total=10.041s frontend=0.927s interaction=0.133s pooling=0.699s backward=8.068s
step=2 total=8.733s frontend=0.070s interaction=0.038s pooling=0.646s backward=7.967s
step=3 total=8.683s frontend=0.069s interaction=0.037s pooling=0.632s backward=7.939s
step=4 total=8.661s frontend=0.070s interaction=0.037s pooling=0.599s backward=7.943s
step=5 total=8.685s frontend=0.070s interaction=0.037s pooling=0.640s backward=7.932s
step=6 total=8.660s frontend=0.067s interaction=0.037s pooling=0.622s backward=7.927s
step=7 total=8.678s frontend=0.068s interaction=0.037s pooling=0.624s backward=7.942s

=== 5-step average ===
backward    :    7.937s   91.5%
pooling     :    0.623s    7.2%
frontend    :    0.069s    0.8%
interaction :    0.037s    0.4%
data        :    0.003s    0.0%
optimizer   :    0.002s    0.0%
transfer    :    0.001s    0.0%
classifier  :    0.000s    0.0%
loss        :    0.000s    0.0%
total       :    8.673s
